com.victronenergy.gps,/Position/Latitude,d,Decimal degrees,,,,R
com.victronenergy.gps,/Position/Longitude,d,Decimal degrees,,,,R
com.victronenergy.gps,/Course,d,Degrees,,,,R
com.victronenergy.gps,/Speed,d,Km/h,,,,R
com.victronenergy.gps,/Connected,u,,,,,R
com.victronenergy.gps,/ProductName,,,,,,R
com.victronenergy.gps,/ProductId,,,,,,R
com.victronenergy.gps,/FirmwareVersion,,,,,,R
com.victronenergy.gps,/HardwareVersion,,,,,,R
com.victronenergy.gps,/DeviceInstance,,,,,,R
com.victronenergy.gps,/Fix,y,,,,,R
com.victronenergy.gps,/MagneticVariation,,,,,,R
com.victronenergy.gps,/Altitude,d,,,,,R
com.victronenergy.gps,/NrOfSatellites,y,,,,,R
com.victronenergy.gps,/UtcTimestamp,u,,,,,R
com.victronenergy.settings,/Settings/System/AutoUpdate,i,0=Off;1=On,,,,W
com.victronenergy.settings,/Settings/System/ReleaseType,i,0=Latest release;1=Latest release-candidate;2=Testing;3=Develop,,,,W
com.victronenergy.settings,/Settings/System/RemoteSupportPort,i,,,,,R
com.victronenergy.settings,/Settings/System/RemoteSupport,i,0=Disabled;1=Enabled,,,,R
com.victronenergy.vebus,/Interfaces/Mk2/Version,u,,1,,,R
com.victronenergy.vebus,/Devices/0/Version,u,,2,,,R
com.victronenergy.vebus,/Ac/ActiveIn/L1/V,d,V AC,3,uint16,10,R
com.victronenergy.vebus,/Ac/ActiveIn/L2/V,d,V AC,4,uint16,10,R
com.victronenergy.vebus,/Ac/ActiveIn/L3/V,d,V AC,5,uint16,10,R
com.victronenergy.vebus,/Ac/ActiveIn/L1/I,d,A AC,6,int16,10,R
com.victronenergy.vebus,/Ac/ActiveIn/L2/I,d,A AC,7,int16,10,R
com.victronenergy.vebus,/Ac/ActiveIn/L3/I,d,A AC,8,int16,10,R
com.victronenergy.vebus,/Ac/ActiveIn/L1/F,d,Hz,9,int16,100,R
com.victronenergy.vebus,/Ac/ActiveIn/L2/F,d,Hz,10,int16,100,R
com.victronenergy.vebus,/Ac/ActiveIn/L3/F,d,Hz,11,int16,100,R
